"","pval","direction","color"
"10/12 MATH domain binding",0.000377357913406546,0,"dodgerblue2"
"10/18 nucleotide-sugar transmembrane transporter activity",0.0302271967983411,1,"lightcoral"
"4/7 oligosaccharyl transferase activity",0.0483333051573482,1,"lightcoral"
"8/14 aryl sulfotransferase activity",0.0268787898279447,0,"skyblue2"
"30/61 sulfotransferase activity",0.000715815253607445,0,"dodgerblue2"
"28/63 transferase activity, transferring alkyl or aryl (other than methyl) groups",0.0435040584423556,1,"lightcoral"
"47/122 iron-sulfur cluster binding",0.0435040584423556,1,"lightcoral"
"41/98 electron transfer activity",0.0141929722936893,1,"lightcoral"
"5/7 glutathione disulfide oxidoreductase activity",0.00477443720420755,1,"firebrick1"
"14/27 cyclic-nucleotide phosphodiesterase activity",0.028520293449627,0,"skyblue2"
"8/11 3',5'-cyclic-AMP phosphodiesterase activity",0.0141929722936893,0,"skyblue2"
"18/42 transition metal ion transmembrane transporter activity",0.0415365278034991,1,"lightcoral"
"90/196 symporter activity",0.00133615473340868,0,"dodgerblue2"
"65/172 sodium ion transmembrane transporter activity",0.0440137355263888,0,"skyblue2"
"33/83 solute:sodium symporter activity",0.0228288274754845,0,"skyblue2"
"10/14 phospholipid scramblase activity",0.0438618293135421,0,"skyblue2"
"21/42 ion gated channel activity",0.0268787898279447,0,"skyblue2"
"10/20 intracellular chloride channel activity",0.032584350770535,0,"skyblue2"
"39/101 chloride transmembrane transporter activity",0.0168800794591905,0,"skyblue2"
"5/6 voltage-gated calcium channel activity involved in cardiac muscle cell action potential",0.0307216538702886,0,"skyblue2"
"5/8 low voltage-gated calcium channel activity",0.0477921375590723,0,"skyblue2"
"221/552 metal ion transmembrane transporter activity",0.0246798492594423,0,"skyblue2"
"59/158 potassium ion transmembrane transporter activity",0.00739598679635624,0,"dodgerblue2"
"96/226 voltage-gated channel activity",0.043326310032298,0,"skyblue2"
"37/100 voltage-gated potassium channel activity",0.00888086944268022,0,"dodgerblue2"
"215/563 passive transmembrane transporter activity",0.00703591956128797,0,"dodgerblue2"
"4/5 transferase activity, transferring aldehyde or ketonic groups",0.0253215960905078,1,"lightcoral"
"133/306 carbohydrate binding",2.30678754758911e-05,0,"dodgerblue2"
"20/43 L-ascorbic acid binding",0.0435040584423556,0,"skyblue2"
"45/95 Wnt-protein binding",0.00810353671094281,0,"dodgerblue2"
"444/1250 signaling receptor activity",0.0193818051089414,0,"skyblue2"
"5/7 MHC class I receptor activity",0.0334504527993408,0,"skyblue2"
"35/67 PDZ domain binding",0.0467770793990039,0,"skyblue2"
"61/121 protein phosphatase binding",0.00411732263320659,1,"firebrick1"
"14/23 protein phosphatase 2A binding",0.0128341031341117,1,"lightcoral"
"31/62 myosin binding",0.0440137355263888,0,"skyblue2"
"12/13 myosin heavy chain binding",0.00040772871671365,0,"dodgerblue2"
"90/208 glycosaminoglycan binding",0.0014628853963884,0,"dodgerblue2"
"23/48 dystroglycan binding",0.00152817227331278,0,"dodgerblue2"
"500/1211 calcium ion binding",1.01247337937188e-15,0,"dodgerblue2"
"15/29 ankyrin binding",0.00214517134273927,0,"dodgerblue2"
"26/51 actinin binding",0.0101500897658512,0,"skyblue2"
"16/21 muscle alpha-actinin binding",0.000837304382538083,0,"dodgerblue2"
"23/35 structural constituent of muscle",0.00434405739658221,0,"dodgerblue2"
"71/164 actin filament binding",0.00185076552537657,0,"dodgerblue2"
"11/16 telethonin binding",0.0435040584423556,0,"skyblue2"
"187/409 actin binding",6.11065330552661e-08,0,"dodgerblue2"
"389/909 cytoskeletal protein binding",4.31390780985208e-06,0,"dodgerblue2"
"173/400 extracellular matrix structural constituent",1.39796549063972e-11,0,"dodgerblue2"
"28/47 extracellular matrix structural constituent conferring tensile strength",4.31390780985208e-06,0,"dodgerblue2"
"55/121 receptor regulator activity",0.0342456853512216,0,"skyblue2"
"10/15 receptor inhibitor activity",0.023694214786805,0,"skyblue2"
"16/32 toxin activity",0.00411732263320659,0,"dodgerblue2"
"61/147 cysteine-type peptidase activity",0.0376590824159686,1,"lightcoral"
"52/128 omega peptidase activity",0.000574554230118844,1,"firebrick1"
"7/11 Lys63-specific deubiquitinase activity",0.0373996176501331,1,"lightcoral"
"105/236 serine hydrolase activity",0.0435040584423556,0,"skyblue2"
"19/35 dipeptidase activity",0.00031272190367663,0,"dodgerblue2"
"6/10 N-formylglutamate deformylase activity",0.0144401183135806,0,"skyblue2"
"30/69 carboxypeptidase activity",0.00152817227331278,0,"dodgerblue2"
"78/171 exopeptidase activity",0.00040772871671365,0,"dodgerblue2"
"497/1125 zinc ion binding",0.000956013366997359,0,"dodgerblue2"
"42/96 metalloexopeptidase activity",0.040195760834019,0,"skyblue2"
"180/371 metallopeptidase activity",0.000353690463404605,0,"dodgerblue2"
"18/29 cysteine-type endopeptidase inhibitor activity",0.0440137355263888,0,"skyblue2"
"260/611 lipid binding",0.0110518319777145,0,"skyblue2"
"12/14 threonine-type endopeptidase activity",5.73232470253315e-07,1,"firebrick1"
"58/102 unfolded protein binding",0.000242522002906656,1,"firebrick1"
"8/12 ATPase activator activity",0.0110518319777145,1,"lightcoral"
"15/25 ATPase regulator activity",0.0151613094973575,1,"lightcoral"
"31/72 protein N-terminus binding",0.0120970243997693,1,"lightcoral"
"10/17 ubiquitin-ubiquitin ligase activity",0.0440137355263888,1,"lightcoral"
"12/35 ubiquitin-like protein conjugating enzyme binding",0.0246798492594423,1,"lightcoral"
"130/286 ubiquitin-like protein ligase binding",4.79098857367972e-05,1,"firebrick1"
"55/97 ubiquitin-like protein binding",2.34169273240275e-08,1,"firebrick1"
"6/6 protein transmembrane transporter activity",0.00403426418564763,1,"firebrick1"
"9/10 macromolecule transmembrane transporter activity",0.00454958632062904,1,"firebrick1"
"17/42 structural constituent of nuclear pore",2.24943559483181e-05,1,"firebrick1"
"20/49 signal sequence binding",0.032584350770535,1,"lightcoral"
"11/32 nuclear localization sequence binding",0.0302271967983411,1,"lightcoral"
"4/5 pre-mRNA 3'-splice site binding",0.0373421281736839,1,"lightcoral"
"4/6 second spliceosomal transesterification activity",0.0373421281736839,1,"lightcoral"
"167/427 catalytic activity, acting on RNA",1.95046612954906e-08,1,"firebrick1"
"19/45 DNA-directed 5'-3' RNA polymerase activity",0.00040772871671365,1,"firebrick1"
"24/62 RNA polymerase activity",0.0141929722936893,1,"lightcoral"
"5/10 ribonuclease P activity",0.0357381999806768,1,"lightcoral"
"54/123 catalytic activity, acting on a tRNA",5.73232470253315e-07,1,"firebrick1"
"25/64 RNA methyltransferase activity",4.79098857367972e-05,1,"firebrick1"
"8/29 tRNA methyltransferase activity",0.0311801112295646,1,"lightcoral"
"62/146 structural constituent of ribosome",2.61918485291525e-14,1,"firebrick1"
"6/6 5S rRNA binding",0.00837040995163619,1,"firebrick1"
"38/74 rRNA binding",2.76561784021174e-07,1,"firebrick1"
"21/33 snoRNA binding",2.84944992008222e-05,1,"firebrick1"
"77/138 translation regulator activity",0.000190495850269296,1,"firebrick1"
"39/58 translation initiation factor activity",1.09857399756253e-08,1,"firebrick1"
"60/101 translation regulator activity, nucleic acid binding",2.2028285662292e-07,1,"firebrick1"
"4/5 eukaryotic initiation factor 4E binding",0.0335649369399291,1,"lightcoral"
"16/23 translation initiation factor binding",0.00185076552537657,1,"firebrick1"
"4/9 U4 snRNA binding",0.0483333051573482,1,"lightcoral"
"21/39 snRNA binding",0.000209898758606087,1,"firebrick1"
"10/15 U6 snRNA binding",0.0154364837669391,1,"lightcoral"
"87/174 mRNA binding",9.4304145700023e-09,1,"firebrick1"
"39/73 tRNA binding",0.00538611440181381,1,"firebrick1"
"689/1437 RNA binding",1e-15,1,"firebrick1"
"6/6 7S RNA binding",0.00434405739658221,1,"firebrick1"
"59/119 ribonucleoprotein complex binding",4.80450740634807e-07,1,"firebrick1"
"24/50 ribosome binding",7.44754318591849e-07,1,"firebrick1"
"49/106 SNARE binding",0.0486597327475629,1,"lightcoral"
"13/21 SNAP receptor activity",0.00477443720420755,1,"firebrick1"
"17/43 DNA secondary structure binding",0.0435040584423556,0,"skyblue2"
"5/10 apolipoprotein receptor activity",0.032584350770535,1,"lightcoral"
"61/178 primary active transmembrane transporter activity",0.0321110133598768,1,"lightcoral"
"6/14 ATPase-coupled intramembrane lipid transporter activity",0.0373996176501331,1,"lightcoral"
"210/492 guanyl ribonucleotide binding",0.0110518319777145,1,"lightcoral"
"139/308 GTPase activity",0.00265872647268713,1,"firebrick1"
"528/1348 hydrolase activity, acting on acid anhydrides",0.00204819484426787,1,"firebrick1"
"92/234 helicase activity",0.0335647731098532,1,"lightcoral"
"6/11 ATP-dependent peptidase activity",0.00160812464403294,1,"firebrick1"
"324/876 ATPase activity",0.0498916362616922,1,"lightcoral"
"6/7 methyl-CpG binding",0.0154364837669391,1,"lightcoral"
"8/15 TBP-class protein binding",0.0110518319777145,1,"lightcoral"
"7/8 proteasome-activating ATPase activity",0.00214517134273927,1,"firebrick1"
"121/260 transcription coregulator activity",0.0192773620661583,1,"lightcoral"
"73/149 transcription coactivator activity",0.0351968473063471,1,"lightcoral"
"27/47 peptide N-acetyltransferase activity",0.00411732263320659,1,"firebrick1"
"36/70 N-acyltransferase activity",0.00655085692878612,1,"firebrick1"
