coral,genotype,sym,treatment,temperature,behaviour
AE5,E,W,Heat,24,5
AS6,S,B,Heat,24,4
AQ3,Q,B,Heat,24,5
AL2,L,B,Heat,24,4
AJ3,J,B,Heat,24,5
AI3,I,B,Heat,24,5
AB4,B,B,Heat,24,5
AK2,K,W,Heat,24,5
AC1,C,W,Heat,24,5
AD5,D,W,Heat,24,4
AG1,G,W,Heat,24,5
AT1,T,B,Heat,24,5
AR4,R,B,Heat,24,5
AN1,N,B,Heat,24,4
AQ1,Q,B,Heat,24,5
AI2,I,B,Heat,24,5
AF3,F,B,Heat,24,5
AP4,P,W,Heat,24,5
AC6,C,W,Heat,24,5
AE3,E,W,Heat,24,5
AH1,H,W,Heat,24,5
AJ6,J,B,Cold,12,5
AF5,F,B,Cold,12,5
AB2,B,B,Cold,12,5
AH3,H,W,Cold,12,5
AA3,A,W,Cold,12,4
AD6,D,W,Cold,12,5
AE1,E,W,Cold,12,5
AM1,M,B,Cold,12,5
AO5,O,B,Cold,12,5
AR2,R,B,Cold,12,5
AT5,T,B,Cold,12,5
AJ1,J,B,Cold,12,4
AI5,I,B,Cold,12,5
AB5,B,B,Cold,12,5
AK3,K,W,Cold,12,5
AC2,C,W,Cold,12,5
AD8,D,W,Cold,12,5
AG4,G,W,Cold,12,5
AL1,L,B,Cold,12,5
AQ6,Q,B,Cold,12,5
AS5,S,B,Cold,12,5
AT4,T,B,Cold,12,5
AJ2,J,B,Cold,12,5
AI4,I,B,Cold,12,4
AF8,F,B,Cold,12,4
AP1,P,W,Cold,12,3
AC5,C,W,Cold,12,5
AE2,E,W,Cold,12,5
AG3,G,W,Cold,12,5
AN2,N,B,Cold,12,4
AR3,R,B,Cold,12,5
AS2,S,B,Cold,12,5
AT2,T,B,Control,18,5
AR1,R,B,Control,18,5
AO2,O,B,Control,18,5
AM3,M,B,Control,18,5
AJ4,J,B,Control,18,5
AF1,F,B,Control,18,5
AP2,P,W,Control,18,5
AH2,H,W,Control,18,5
AA4,A,W,Control,18,4
AD2,D,W,Control,18,5
AE4,E,W,Control,18,5
AT3,T,B,Control,18,5
AS4,S,B,Control,18,5
AQ5,Q,B,Control,18,5
AN5,N,B,Control,18,5
AJ7,J,B,Control,18,5
AF2,F,B,Control,18,5
AB1,B,B,Control,18,5
AK5,K,W,Control,18,5
AC3,C,W,Control,18,5
AD3,D,W,Control,18,5
AE6,E,W,Control,18,5
AS1,S,B,Control,18,5
AR5,R,B,Control,18,5
AN3,N,B,Control,18,5
AL3,L,B,Control,18,5
AI1,I,B,Control,18,5
AB6,B,B,Control,18,5
AP3,P,W,Control,18,4
AC4,C,W,Control,18,5
AD4,D,W,Control,18,5
AG2,G,W,Control,18,5
AT6,T,B,Heat,25,5
AS3,S,B,Heat,25,5
AO3,O,B,Heat,25,5
AM2,M,B,Heat,25,5
AJ5,J,B,Heat,25,5
AF4,F,B,Heat,25,5
AB3,B,B,Heat,25,5
AH4,H,W,Heat,25,5
AA2,A,W,Heat,25,4
AD1,D,W,Heat,25,5
AE5,E,W,Heat,25,5
AS6,S,B,Heat,25,5
AQ3,Q,B,Heat,25,5
AL2,L,B,Heat,25,5
AJ3,J,B,Heat,25,5
AI3,I,B,Heat,25,5
AB4,B,B,Heat,25,5
AK2,K,W,Heat,25,5
AC1,C,W,Heat,25,5
AD5,D,W,Heat,25,5
AG1,G,W,Heat,25,5
AT1,T,B,Heat,25,5
AR4,R,B,Heat,25,5
AN1,N,B,Heat,25,5
AQ1,Q,B,Heat,25,5
AI2,I,B,Heat,25,5
AF3,F,B,Heat,25,5
AP4,P,W,Heat,25,5
AC6,C,W,Heat,25,5
AE3,E,W,Heat,25,5
AH1,H,W,Heat,25,5
AJ6,J,B,Cold,11,5
AF5,F,B,Cold,11,5
AB2,B,B,Cold,11,5
AH3,H,W,Cold,11,5
AA3,A,W,Cold,11,4
AD6,D,W,Cold,11,5
AE1,E,W,Cold,11,5
AM1,M,B,Cold,11,5
AO5,O,B,Cold,11,5
AR2,R,B,Cold,11,5
AT5,T,B,Cold,11,5
AJ1,J,B,Cold,11,4
AI5,I,B,Cold,11,5
AB5,B,B,Cold,11,5
AK3,K,W,Cold,11,5
AC2,C,W,Cold,11,5
AD8,D,W,Cold,11,5
AG4,G,W,Cold,11,4
AL1,L,B,Cold,11,5
AQ6,Q,B,Cold,11,5
AS5,S,B,Cold,11,5
AT4,T,B,Cold,11,5
AJ2,J,B,Cold,11,5
AI4,I,B,Cold,11,3
AF8,F,B,Cold,11,5
AP1,P,W,Cold,11,3
AC5,C,W,Cold,11,5
AE2,E,W,Cold,11,5
AG3,G,W,Cold,11,2
AN2,N,B,Cold,11,3
AR3,R,B,Cold,11,5
AS2,S,B,Cold,11,4
AT2,T,B,Control,18,5
AR1,R,B,Control,18,5
AO2,O,B,Control,18,5
AM3,M,B,Control,18,5
AJ4,J,B,Control,18,5
AF1,F,B,Control,18,5
AP2,P,W,Control,18,5
AH2,H,W,Control,18,5
AA4,A,W,Control,18,5
AD2,D,W,Control,18,5
AE4,E,W,Control,18,4
AT3,T,B,Control,18,5
AS4,S,B,Control,18,5
AQ5,Q,B,Control,18,5
AN5,N,B,Control,18,5
AJ7,J,B,Control,18,5
AF2,F,B,Control,18,5
AB1,B,B,Control,18,5
AK5,K,W,Control,18,5
AC3,C,W,Control,18,5
AD3,D,W,Control,18,5
AE6,E,W,Control,18,4
AS1,S,B,Control,18,5
AR5,R,B,Control,18,5
AN3,N,B,Control,18,5
AL3,L,B,Control,18,5
AI1,I,B,Control,18,5
AB6,B,B,Control,18,5
AP3,P,W,Control,18,5
AC4,C,W,Control,18,5
AD4,D,W,Control,18,5
AG2,G,W,Control,18,5
AT6,T,B,Heat,26,5
AS3,S,B,Heat,26,5
AO3,O,B,Heat,26,5
AM2,M,B,Heat,26,5
AJ5,J,B,Heat,26,5
AF4,F,B,Heat,26,5
AB3,B,B,Heat,26,5
AH4,H,W,Heat,26,5
AA2,A,W,Heat,26,4
AD1,D,W,Heat,26,5
AE5,E,W,Heat,26,4
AS6,S,B,Heat,26,5
AQ3,Q,B,Heat,26,4
AL2,L,B,Heat,26,5
AJ3,J,B,Heat,26,5
AI3,I,B,Heat,26,4
AB4,B,B,Heat,26,5
AK2,K,W,Heat,26,5
AC1,C,W,Heat,26,5
AD5,D,W,Heat,26,5
AG1,G,W,Heat,26,5
AT1,T,B,Heat,26,5
AR4,R,B,Heat,26,5
AN1,N,B,Heat,26,4
AQ1,Q,B,Heat,26,5
AI2,I,B,Heat,26,5
AF3,F,B,Heat,26,5
AP4,P,W,Heat,26,5
AC6,C,W,Heat,26,5
AE3,E,W,Heat,26,4
AH1,H,W,Heat,26,5
AJ6,J,B,Cold,10,4
AF5,F,B,Cold,10,5
AB2,B,B,Cold,10,5
AH3,H,W,Cold,10,5
AA3,A,W,Cold,10,4
AD6,D,W,Cold,10,4
AE1,E,W,Cold,10,5
AM1,M,B,Cold,10,4
AO5,O,B,Cold,10,5
AR2,R,B,Cold,10,5
AT5,T,B,Cold,10,3
AJ1,J,B,Cold,10,4
AI5,I,B,Cold,10,5
AB5,B,B,Cold,10,5
AK3,K,W,Cold,10,5
AC2,C,W,Cold,10,5
AD8,D,W,Cold,10,5
AG4,G,W,Cold,10,4
AL1,L,B,Cold,10,5
AQ6,Q,B,Cold,10,5
AS5,S,B,Cold,10,5
AT4,T,B,Cold,10,3
AJ2,J,B,Cold,10,4
AI4,I,B,Cold,10,5
AF8,F,B,Cold,10,5
AP1,P,W,Cold,10,5
AC5,C,W,Cold,10,5
AE2,E,W,Cold,10,5
AG3,G,W,Cold,10,4
AN2,N,B,Cold,10,5
AR3,R,B,Cold,10,5
AS2,S,B,Cold,10,4
AT2,T,B,Control,18,5
AR1,R,B,Control,18,5
AO2,O,B,Control,18,5
AM3,M,B,Control,18,5
AJ4,J,B,Control,18,5
AF1,F,B,Control,18,5
AP2,P,W,Control,18,5
AH2,H,W,Control,18,5
AA4,A,W,Control,18,5
AD2,D,W,Control,18,5
AE4,E,W,Control,18,4
AT3,T,B,Control,18,5
AS4,S,B,Control,18,5
AQ5,Q,B,Control,18,5
AN5,N,B,Control,18,5
AJ7,J,B,Control,18,5
AF2,F,B,Control,18,5
AB1,B,B,Control,18,5
AK5,K,W,Control,18,5
AC3,C,W,Control,18,5
AD3,D,W,Control,18,5
AE6,E,W,Control,18,4
AS1,S,B,Control,18,5
AR5,R,B,Control,18,5
AN3,N,B,Control,18,5
AL3,L,B,Control,18,5
AI1,I,B,Control,18,5
AB6,B,B,Control,18,5
AP3,P,W,Control,18,3
AC4,C,W,Control,18,5
AD4,D,W,Control,18,5
AG2,G,W,Control,18,5
AT6,T,B,Heat,27,5
AS3,S,B,Heat,27,5
AO3,O,B,Heat,27,5
AM2,M,B,Heat,27,5
AJ5,J,B,Heat,27,5
AF4,F,B,Heat,27,5
AB3,B,B,Heat,27,5
AH4,H,W,Heat,27,5
AA2,A,W,Heat,27,4
AD1,D,W,Heat,27,5
AE5,E,W,Heat,27,5
AS6,S,B,Heat,27,5
AQ3,Q,B,Heat,27,5
AL2,L,B,Heat,27,5
AJ3,J,B,Heat,27,5
AI3,I,B,Heat,27,5
AB4,B,B,Heat,27,5
AK2,K,W,Heat,27,4
AC1,C,W,Heat,27,5
AD5,D,W,Heat,27,5
AG1,G,W,Heat,27,5
AT1,T,B,Heat,27,5
AR4,R,B,Heat,27,5
AN1,N,B,Heat,27,5
AQ1,Q,B,Heat,27,5
AI2,I,B,Heat,27,5
AF3,F,B,Heat,27,5
AP4,P,W,Heat,27,5
AC6,C,W,Heat,27,5
AE3,E,W,Heat,27,5
AH1,H,W,Heat,27,5
AJ6,J,B,Cold,9,3
AF5,F,B,Cold,9,4
AB2,B,B,Cold,9,4
AH3,H,W,Cold,9,2
AA3,A,W,Cold,9,4
AD6,D,W,Cold,9,4
AE1,E,W,Cold,9,3
AM1,M,B,Cold,9,2
AO5,O,B,Cold,9,4
AR2,R,B,Cold,9,4
AT5,T,B,Cold,9,3
AJ1,J,B,Cold,9,1
AI5,I,B,Cold,9,4
AB5,B,B,Cold,9,5
AK3,K,W,Cold,9,5
AC2,C,W,Cold,9,4
AD8,D,W,Cold,9,4
AG4,G,W,Cold,9,3
AL1,L,B,Cold,9,4
AQ6,Q,B,Cold,9,5
AS5,S,B,Cold,9,4
AT4,T,B,Cold,9,2
AJ2,J,B,Cold,9,4
AI4,I,B,Cold,9,3
AF8,F,B,Cold,9,4
AP1,P,W,Cold,9,4
AC5,C,W,Cold,9,4
AE2,E,W,Cold,9,4
AG3,G,W,Cold,9,3
AN2,N,B,Cold,9,4
AR3,R,B,Cold,9,4
AS2,S,B,Cold,9,4
AT2,T,B,Control,18,5
AR1,R,B,Control,18,5
AO2,O,B,Control,18,5
AM3,M,B,Control,18,5
AJ4,J,B,Control,18,5
AF1,F,B,Control,18,5
AP2,P,W,Control,18,5
AH2,H,W,Control,18,5
AA4,A,W,Control,18,5
AD2,D,W,Control,18,5
AE4,E,W,Control,18,5
AT3,T,B,Control,18,5
AS4,S,B,Control,18,5
AQ5,Q,B,Control,18,5
AN5,N,B,Control,18,5
AJ7,J,B,Control,18,5
AF2,F,B,Control,18,5
AB1,B,B,Control,18,5
AK5,K,W,Control,18,5
AC3,C,W,Control,18,5
AD3,D,W,Control,18,4
AE6,E,W,Control,18,5
AS1,S,B,Control,18,5
AR5,R,B,Control,18,5
AN3,N,B,Control,18,5
AL3,L,B,Control,18,5
AI1,I,B,Control,18,5
AB6,B,B,Control,18,5
AP3,P,W,Control,18,5
AC4,C,W,Control,18,5
AD4,D,W,Control,18,5
AG2,G,W,Control,18,5
AT6,T,B,Heat,28,5
AS3,S,B,Heat,28,5
AO3,O,B,Heat,28,5
AM2,M,B,Heat,28,5
AJ5,J,B,Heat,28,5
AF4,F,B,Heat,28,5
AB3,B,B,Heat,28,5
AH4,H,W,Heat,28,5
AA2,A,W,Heat,28,5
AD1,D,W,Heat,28,5
AE5,E,W,Heat,28,5
AS6,S,B,Heat,28,5
AQ3,Q,B,Heat,28,5
AL2,L,B,Heat,28,5
AJ3,J,B,Heat,28,5
AI3,I,B,Heat,28,5
AB4,B,B,Heat,28,5
AK2,K,W,Heat,28,5
AC1,C,W,Heat,28,5
AD5,D,W,Heat,28,5
AG1,G,W,Heat,28,5
AT1,T,B,Heat,28,3
AR4,R,B,Heat,28,5
AN1,N,B,Heat,28,5
AQ1,Q,B,Heat,28,5
AI2,I,B,Heat,28,4
AF3,F,B,Heat,28,5
AP4,P,W,Heat,28,5
AC6,C,W,Heat,28,5
AE3,E,W,Heat,28,5
AH1,H,W,Heat,28,5
AJ6,J,B,Cold,8,3
AF5,F,B,Cold,8,4
AB2,B,B,Cold,8,4
AH3,H,W,Cold,8,2
AA3,A,W,Cold,8,3
AD6,D,W,Cold,8,3
AE1,E,W,Cold,8,5
AM1,M,B,Cold,8,3
AO5,O,B,Cold,8,5
AR2,R,B,Cold,8,5
AT5,T,B,Cold,8,2
AJ1,J,B,Cold,8,2
AI5,I,B,Cold,8,5
AB5,B,B,Cold,8,3
AK3,K,W,Cold,8,5
AC2,C,W,Cold,8,5
AD8,D,W,Cold,8,5
AG4,G,W,Cold,8,4
AL1,L,B,Cold,8,5
AQ6,Q,B,Cold,8,2
AS5,S,B,Cold,8,5
AT4,T,B,Cold,8,1
AJ2,J,B,Cold,8,5
AI4,I,B,Cold,8,5
AF8,F,B,Cold,8,5
AP1,P,W,Cold,8,4
AC5,C,W,Cold,8,5
AE2,E,W,Cold,8,5
AG3,G,W,Cold,8,4
AN2,N,B,Cold,8,5
AR3,R,B,Cold,8,5
AS2,S,B,Cold,8,5
AT2,T,B,Control,18,5
AR1,R,B,Control,18,5
AO2,O,B,Control,18,5
AM3,M,B,Control,18,5
AJ4,J,B,Control,18,5
AF1,F,B,Control,18,5
AP2,P,W,Control,18,5
AH2,H,W,Control,18,5
AA4,A,W,Control,18,5
AD2,D,W,Control,18,5
AE4,E,W,Control,18,4
AT3,T,B,Control,18,5
AS4,S,B,Control,18,5
AQ5,Q,B,Control,18,5
AN5,N,B,Control,18,5
AJ7,J,B,Control,18,5
AF2,F,B,Control,18,5
AB1,B,B,Control,18,5
AK5,K,W,Control,18,5
AC3,C,W,Control,18,5
AD3,D,W,Control,18,5
AE6,E,W,Control,18,4
AS1,S,B,Control,18,5
AR5,R,B,Control,18,5
AN3,N,B,Control,18,5
AL3,L,B,Control,18,5
AI1,I,B,Control,18,5
AB6,B,B,Control,18,5
AP3,P,W,Control,18,3
AC4,C,W,Control,18,5
AD4,D,W,Control,18,5
AG2,G,W,Control,18,5
AT6,T,B,Heat,29,5
AS3,S,B,Heat,29,5
AO3,O,B,Heat,29,5
AM2,M,B,Heat,29,5
AJ5,J,B,Heat,29,5
AF4,F,B,Heat,29,5
AB3,B,B,Heat,29,5
AH4,H,W,Heat,29,5
AA2,A,W,Heat,29,4
AD1,D,W,Heat,29,5
AE5,E,W,Heat,29,5
AS6,S,B,Heat,29,4
AQ3,Q,B,Heat,29,5
AL2,L,B,Heat,29,5
AJ3,J,B,Heat,29,5
AI3,I,B,Heat,29,5
AB4,B,B,Heat,29,5
AK2,K,W,Heat,29,5
AC1,C,W,Heat,29,5
AD5,D,W,Heat,29,5
AG1,G,W,Heat,29,5
AT1,T,B,Heat,29,5
AR4,R,B,Heat,29,5
AN1,N,B,Heat,29,5
AQ1,Q,B,Heat,29,5
AI2,I,B,Heat,29,5
AF3,F,B,Heat,29,5
AP4,P,W,Heat,29,5
AC6,C,W,Heat,29,5
AE3,E,W,Heat,29,4
AH1,H,W,Heat,29,5
AJ6,J,B,Cold,7,2
AF5,F,B,Cold,7,1
AB2,B,B,Cold,7,2
AH3,H,W,Cold,7,1
AA3,A,W,Cold,7,1
AD6,D,W,Cold,7,1
AE1,E,W,Cold,7,2
AM1,M,B,Cold,7,1
AO5,O,B,Cold,7,1
AR2,R,B,Cold,7,3
AT5,T,B,Cold,7,2
AJ1,J,B,Cold,7,1
AI5,I,B,Cold,7,3
AB5,B,B,Cold,7,3
AK3,K,W,Cold,7,2
AC2,C,W,Cold,7,2
AD8,D,W,Cold,7,1
AG4,G,W,Cold,7,1
AL1,L,B,Cold,7,1
AQ6,Q,B,Cold,7,2
AS5,S,B,Cold,7,2
AT4,T,B,Cold,7,1
AJ2,J,B,Cold,7,4
AI4,I,B,Cold,7,3
AF8,F,B,Cold,7,3
AP1,P,W,Cold,7,3
AC5,C,W,Cold,7,2
AE2,E,W,Cold,7,3
AG3,G,W,Cold,7,3
AN2,N,B,Cold,7,3
AR3,R,B,Cold,7,4
AS2,S,B,Cold,7,3
AT2,T,B,Control,18,5
AR1,R,B,Control,18,5
AO2,O,B,Control,18,5
AM3,M,B,Control,18,5
AJ4,J,B,Control,18,5
AF1,F,B,Control,18,5
AP2,P,W,Control,18,5
AH2,H,W,Control,18,5
AA4,A,W,Control,18,5
AD2,D,W,Control,18,5
AE4,E,W,Control,18,5
AT3,T,B,Control,18,5
AS4,S,B,Control,18,5
AQ5,Q,B,Control,18,5
AN5,N,B,Control,18,5
AJ7,J,B,Control,18,5
AF2,F,B,Control,18,5
AB1,B,B,Control,18,5
AK5,K,W,Control,18,5
AC3,C,W,Control,18,5
AD3,D,W,Control,18,5
AE6,E,W,Control,18,4
AS1,S,B,Control,18,5
AR5,R,B,Control,18,5
AN3,N,B,Control,18,5
AL3,L,B,Control,18,5
AI1,I,B,Control,18,5
AB6,B,B,Control,18,5
AP3,P,W,Control,18,5
AC4,C,W,Control,18,5
AD4,D,W,Control,18,5
AG2,G,W,Control,18,5
AT6,T,B,Heat,30,5
AS3,S,B,Heat,30,2
AO3,O,B,Heat,30,4
AM2,M,B,Heat,30,5
AJ5,J,B,Heat,30,5
AF4,F,B,Heat,30,5
AB3,B,B,Heat,30,5
AH4,H,W,Heat,30,5
AA2,A,W,Heat,30,5
AD1,D,W,Heat,30,5
AE5,E,W,Heat,30,3
AS6,S,B,Heat,30,2
AQ3,Q,B,Heat,30,5
AL2,L,B,Heat,30,5
AJ3,J,B,Heat,30,5
AI3,I,B,Heat,30,5
AB4,B,B,Heat,30,5
AK2,K,W,Heat,30,4
AC1,C,W,Heat,30,5
AD5,D,W,Heat,30,5
AG1,G,W,Heat,30,5
AT1,T,B,Heat,30,5
AR4,R,B,Heat,30,5
AN1,N,B,Heat,30,3
AQ1,Q,B,Heat,30,5
AI2,I,B,Heat,30,5
AF3,F,B,Heat,30,5
AP4,P,W,Heat,30,5
AC6,C,W,Heat,30,5
AE3,E,W,Heat,30,5
AH1,H,W,Heat,30,5
AJ6,J,B,Cold,6,3
AF5,F,B,Cold,6,3
AB2,B,B,Cold,6,4
AH3,H,W,Cold,6,2
AA3,A,W,Cold,6,1
AD6,D,W,Cold,6,1
AE1,E,W,Cold,6,2
AM1,M,B,Cold,6,1
AO5,O,B,Cold,6,4
AR2,R,B,Cold,6,3
AT5,T,B,Cold,6,2
AJ1,J,B,Cold,6,2
AI5,I,B,Cold,6,3
AB5,B,B,Cold,6,4
AK3,K,W,Cold,6,3
AC2,C,W,Cold,6,5
AD8,D,W,Cold,6,1
AG4,G,W,Cold,6,2
AL1,L,B,Cold,6,2
AQ6,Q,B,Cold,6,4
AS5,S,B,Cold,6,2
AT4,T,B,Cold,6,1
AJ2,J,B,Cold,6,4
AI4,I,B,Cold,6,1
AF8,F,B,Cold,6,3
AP1,P,W,Cold,6,2
AC5,C,W,Cold,6,2
AE2,E,W,Cold,6,3
AG3,G,W,Cold,6,2
AN2,N,B,Cold,6,4
AR3,R,B,Cold,6,4
AS2,S,B,Cold,6,3
AT2,T,B,Control,18,5
AR1,R,B,Control,18,5
AO2,O,B,Control,18,5
AM3,M,B,Control,18,5
AJ4,J,B,Control,18,5
AF1,F,B,Control,18,5
AP2,P,W,Control,18,5
AH2,H,W,Control,18,5
AA4,A,W,Control,18,5
AD2,D,W,Control,18,5
AE4,E,W,Control,18,4
AT3,T,B,Control,18,5
AS4,S,B,Control,18,5
AQ5,Q,B,Control,18,5
AN5,N,B,Control,18,5
AJ7,J,B,Control,18,5
AF2,F,B,Control,18,5
AB1,B,B,Control,18,5
AK5,K,W,Control,18,5
AC3,C,W,Control,18,5
AD3,D,W,Control,18,4
AE6,E,W,Control,18,3
AS1,S,B,Control,18,5
AR5,R,B,Control,18,5
AN3,N,B,Control,18,5
AL3,L,B,Control,18,5
AI1,I,B,Control,18,5
AB6,B,B,Control,18,5
AP3,P,W,Control,18,3
AC4,C,W,Control,18,5
AD4,D,W,Control,18,5
AG2,G,W,Control,18,5
AT6,T,B,Heat,31,4
AS3,S,B,Heat,31,2
AO3,O,B,Heat,31,2
AM2,M,B,Heat,31,4
AJ5,J,B,Heat,31,5
AF4,F,B,Heat,31,5
AB3,B,B,Heat,31,3
AH4,H,W,Heat,31,5
AA2,A,W,Heat,31,3
AD1,D,W,Heat,31,4
AE5,E,W,Heat,31,5
AS6,S,B,Heat,31,1
AQ3,Q,B,Heat,31,4
AL2,L,B,Heat,31,4
AJ3,J,B,Heat,31,5
AI3,I,B,Heat,31,5
AB4,B,B,Heat,31,5
AK2,K,W,Heat,31,3
AC1,C,W,Heat,31,5
AD5,D,W,Heat,31,5
AG1,G,W,Heat,31,5
AT1,T,B,Heat,31,4
AR4,R,B,Heat,31,4
AN1,N,B,Heat,31,1
AQ1,Q,B,Heat,31,3
AI2,I,B,Heat,31,2
