Treatment,Genotype,Sym State,Day,Red,Green,Blue,,
Control,AT2,B,1,41.3,31.3,22.7,,
Control,AR1,B,1,40.5,26.6,14.8,,
Control,AO2,B,1,25.8,15.1,7.7,,
Control,AM3,B,1,37.7,20.8,11.1,,
Control,AJ4,B,1,38.8,26.6,14.5,,
Control,AF1,B,1,61.0,42.2,23.5,,
Control,AP2,W,1,120.8,91.2,59.9,,
Control,AH2,W,1,121.3,89.5,66.3,,
Control,AA4,W,1,105.8,87.8,55.6,,
Control,AD2,W,1,52.4,29.9,24.0,,
Control,AE4,W,1,60.3,43.1,34.3,,
Control,AT3,B,1,18.0,11.4,5.50,,
Control,AS4,B,1,55.2,38.2,21.0,,
Control,AQ5,B,1,70.6,62.1,31.3,,
Control,AN5,B,1,65.3,43.2,20.8,,
Control,AJ7,B,1,48.6,34.5,17.9,,
Control,AF2,B,1,60.4,40.9,20.4,,
Control,AB1,B,1,48.9,31.1,15.0,,
Control,AK5,W,1,101.0,82.1,56.2,,
Control,AC3,W,1,114.5,94.8,64.3,,
Control,AD3,W,1,42.8,22.3,17.1,,
Control,AE6,W,1,116.6,84.7,67.3,,
Control,AS1,B,1,25.5,15.4,6.4,,
Control,AR5,B,1,48.3,30.5,16.0,,
Control,AN3,B,1,47.3,32.1,20.6,,
Control,AL3,B,1,50.3,35.1,19.5,,
Control,AI1,B,1,52.6,34.1,19.0,,
Control,AB6,B,1,33.1,20.8,8.4,,
Control,AP3,W,1,48.9,43.0,26.9,,
Control,AC4,W,1,98.7,77.4,42.0,,
Control,AD4,W,1,76.5,52.1,43.3,,
Control,AG2,W,1,127.7,108,76.7,,
Heat,AT6,B,1,27.7,17.9,9.3,,
Heat,AS3,B,1,54.7,37.2,20.1,,
Heat,AO3,B,1,39.8,24.0,14.2,,
Heat,AM2,B,1,67.4,48.7,31.0,,
Heat,AJ5,B,1,33.5,21.8,10.7,,
Heat,AF4,B,1,81.6,57.0,27.0,,
Heat,AB3,B,1,37.6,22.0,7.9,,
Heat,AH4,W,1,123.4,90.9,62.4,,
Heat,AA2,W,1,75.6,64.8,45.7,,
Heat,AD1,W,1,87.4,54.8,44.5,,
Heat,AE5,W,1,62.5,45.9,32.4,,
Heat,AS6,B,1,47.9,35.9,22.2,,
Heat,AQ3,B,1,35.6,24.7,12.5,,
Heat,AL2,B,1,43.7,31.5,19.3,,
Heat,AJ3,B,1,46.8,31.0,16.4,,
Heat,AI3,B,1,55.7,41.9,25.9,,
Heat,AB4,B,1,30.9,17.9,6.9,,
Heat,AK2,W,1,136.4,115.5,79.7,,
Heat,AC1,W,1,128.7,105.1,69.1,,
Heat,AD5,W,1,67.2,39.6,34.1,,
Heat,AG1,W,1,75.6,62.2,46.6,,
Heat,AT1,B,1,34.1,23.6,15.3,,
Heat,AR4,B,1,35.9,23.3,13.2,,
Heat,AN1,B,1,41.2,31.5,22.8,,
Heat,AQ1,B,1,47.2,33.2,20.1,,
Heat,AI2,B,1,87.3,66.1,46.8,,
Heat,AF3,B,1,93.1,64.8,44.5,,
Heat,AP4,W,1,103.7,74.2,54.6,,
Heat,AC6,W,1,147.5,118.6,87.7,,
Heat,AE3,W,1,76.1,49.5,34.8,,
Heat,AH1,W,1,79.1,57.1,38.5,,
Cold,AJ6,B,1,46.8,32.3,18.8,,
Cold,AF5,B,1,56.2,35.9,18.8,,
Cold,AB2,B,1,46.5,32.5,17.5,,
Cold,AH3,W,1,85.0,55.5,36.7,,
Cold,AA3,W,1,88.0,75.3,54.2,,
Cold,AD6,W,1,117.5,89.9,74.9,,
Cold,AE1,W,1,144.5,113.1,91.0,,
Cold,AM1,B,1,29.5,18.5,11.6,,
Cold,AO5,B,1,41.5,24.9,13.2,,
Cold,AR2,B,1,37.6,25.0,13.7,,
Cold,AT5,B,1,34.5,22.1,13.9,,
Cold,AJ1,B,1,44.0,30.7,17.9,,
Cold,AI5,B,1,51.6,35.9,21.3,,
Cold,AB5,B,1,55.6,39.0,19.6,,
Cold,AK3,W,1,125.1,109.7,79.9,,
Cold,AC2,W,1,134.2,119.5,94.4,,
Cold,AD8,W,1,73.2,48.1,48.3,,
Cold,AG4,W,1,110.2,91.3,64.5,,
Cold,AL1,B,1,63.1,44.7,28.7,,
Cold,AQ6,B,1,48.7,35.8,27.1,,
Cold,AS5,B,1,34.5,25.4,17.9,,
Cold,AT4,B,1,68.0,51.8,34.3,,
Cold,AJ2,B,1,56.4,39.4,20.5,,
Cold,AI4,B,1,64.1,45.5,31.7,,
Cold,AF8,B,1,53.9,34.6,18.0,,
Cold,AP1,W,1,76.8,62.2,59.6,,
Cold,AC5,W,1,103.5,92.0,72.0,,
Cold,AE2,W,1,103.4,70.3,67.8,,
Cold,AG3,W,1,109.2,89.6,60.0,,
Cold,AN2,B,1,51.0,40.4,32.9,,
Cold,AR3,B,1,52.7,33.0,20.3,,
Cold,AS2,B,1,64.0,48.5,33.8,,
Control,AT2,B,7,30.5,21.6,14.5,,
Control,AR1,B,7,39,26.2,14.4,,
Control,AO2,B,7,23.6,15.4,9.8,,
Control,AM3,B,7,39.6,23.6,13.4,,
Control,AJ4,B,7,42.8,30.5,17.5,,
Control,AF1,B,7,52.1,33,14,,
Control,AP2,W,7,96.1,67.4,38.1,,
Control,AH2,W,7,119.7,89.7,60.2,,
Control,AA4,W,7,94.1,76.3,43.4,,
Control,AD2,W,7,82.1,53.9,44.4,,
Control,AE4,W,7,86.7,64.8,53.3,,
Control,AT3,B,7,30.8,20.8,11.7,,
Control,AS4,B,7,54.5,38.1,19.4,,
Control,AQ5,B,7,55.7,41.5,23.1,,
Control,AN5,B,7,53.1,37.4,19.4,,
