delta.rank	pval	level	nseqs	term	name	p.adj	goDivision
1394	3.0601981260666e-21	2	1187	GO:0007186	G protein-coupled receptor signaling pathway	1.07443556206198e-17	BP
1752	2.1825872951372e-19	5	658	GO:0006396	RNA processing	3.83153199661335e-16	BP
2025	2.22009663387671e-17	5	431	GO:0016071	mRNA metabolic process	2.59825309384704e-14	BP
-1518	4.95095017798633e-17	2	766	GO:0022402	cell cycle process	4.3456965187275e-14	BP
2165	4.12929304428911e-15	6	321	GO:0006397	mRNA processing	2.89958957569981e-12	BP
3470	6.03289721383816e-15	2	122	GO:0022618;GO:0071826	ribonucleoprotein complex assembly	3.5302503529643e-12	BP
1573	8.24868983697133e-15	6	605	GO:0007189;GO:0007188	adenylate cyclase-modulating G protein-coupled receptor signaling pathway	4.13730714537233e-12	BP
3270	6.28648166700855e-14	2	127	GO:0000398;GO:0000377;GO:0000375	RNA splicing, via transesterification reactions	2.61893449251908e-11	BP
2258	6.7133040252554e-14	6	268	GO:0008380	RNA splicing	2.61893449251908e-11	BP
-1541	2.51294294653346e-13	2	559	GO:1903047	mitotic cell cycle process	8.82294268527898e-11	BP
2545	8.86640734336298e-13	2	191	GO:0006364;GO:0016072	rRNA metabolic process	2.82999601659522e-10	BP
1916	6.13536230159666e-11	6	284	GO:0034470	ncRNA processing	1.79510475340882e-8	BP
4998	1.88660621595893e-10	4	39	GO:0000387	spliceosomal snRNP assembly	5.09528801863985e-8	BP
1133	2.61685889941797e-10	2	782	GO:0044057	regulation of system process	6.56270828275464e-8	BP
-1882	6.02277590443197e-9	4	232	GO:0044772;GO:0044770	cell cycle phase transition	1.40973108003071e-6	BP
-1209	4.32997744025855e-8	2	507	GO:0007017	microtubule-based process	9.50159424546736e-6	BP
-1016	5.82868559320537e-8	2	713	GO:0048598	embryonic morphogenesis	1.20379500692612e-5	BP
1019	7.5695649951289e-8	2	695	GO:0031329;GO:0009894	regulation of catabolic process	1.47648570543875e-5	BP
3611	1.08679383265045e-7	2	52	GO:0043618;GO:0043620	regulation of DNA-templated transcription in response to stress	1.95614832320426e-5	BP
-1599	1.11429696565324e-7	3	268	GO:0007018	microtubule-based movement	1.95614832320426e-5	BP
6090	1.32017002882733e-7	2	18	GO:0043248	proteasome assembly	2.20719855772036e-5	BP
6207	1.73059649059017e-7	2	17	GO:0038061	NIK/NF-kappaB signaling	2.76187467202822e-5	BP
3904	2.4386944528991103e-07	3	42	GO:0010501	RNA secondary structure unwinding	3.72272009744729e-5	BP
-736	5.01051094895019e-7	2	1202	GO:0006928	movement of cell or subcellular component	7.32995997573505e-5	BP
-1047	5.90623262344986e-7	2	564	GO:0005975	carbohydrate metabolic process	8.29471309637298e-5	BP
-1124	1.24878640292098e-6	3	458	GO:0060271;GO:0044782;GO:0120031;GO:0030031	cell projection assembly	1.68634194640599e-4	BP
2312	1.40016565416234e-6	2	105	GO:0006366	transcription by RNA polymerase II	1.82073393028295e-4	BP
-835	1.47690856324267e-6	3	837	GO:1901135	carbohydrate derivative metabolic process	1.85193784483751e-4	BP
1546	1.86788013641249e-6	5	231	GO:0006940	regulation of smooth muscle contraction	2.26142315825664e-4	BP
-3206	2.40484410610639e-6	2	52	GO:0007062	sister chromatid cohesion	2.81446921884651e-4	BP
-2286	2.8760749487105e-6	2	101	GO:0010172;GO:0010171	body morphogenesis	3.16642916881266e-4	BP
2218	2.97522759350064e-6	2	107	GO:0006605	protein targeting	3.16642916881266e-4	BP
4772	2.97613678640894e-6	2	23	GO:0002181	cytoplasmic translation	3.16642916881266e-4	BP
4172	3.09217113554375e-6	3	30	GO:0006613;GO:0045047;GO:0006614	protein targeting to ER	3.1906324331111e-4	BP
-3198	3.1806361480743e-6	2	51	GO:0043171	peptide catabolic process	3.1906324331111e-4	BP
-879	3.66615919690115e-6	2	693	GO:0051301	cell division	3.57552359453332e-4	BP
-1560	3.7970400327223e-6	2	213	GO:0051865	protein autoubiquitination	0.00036030831229426997	BP
-4603	4.1413022429129e-6	5	24	GO:0006270	DNA replication initiation	3.80258531371742e-4	BP
-1325	4.22389140515464e-6	4	294	GO:0051276	chromosome organization	3.80258531371742e-4	BP
-3170	4.8082195992538e-6	2	50	GO:0000272	polysaccharide catabolic process	4.22041475324502e-4	BP
1601	5.25929822141735e-6	4	196	GO:0006412;GO:0043043	peptide biosynthetic process	4.50375513546252e-4	BP
3508	5.94846154828324e-6	4	40	GO:0006612	protein targeting to membrane	4.97263059429106e-4	BP
1761	6.7716821950778e-6	2	158	GO:1903311	regulation of mRNA metabolic process	5.52915725277166e-4	BP
4797	7.17753363985174e-6	-1	21	GO:0051436;GO:0051437	obsolete positive regulation of ubiquitin-protein ligase activity involved in regulation of mitotic cell cycle transition	5.7273455930726e-4	BP
-5838	8.15028168364305e-6	2	14	GO:0043589	skin morphogenesis	6.35903088694906e-4	BP
3909	8.87244213263053e-6	2	31	GO:1902036;GO:1901532	regulation of hematopoietic progenitor cell differentiation	6.77198789731865e-4	BP
-2020	9.44289947684988e-6	2	116	GO:0016052	carbohydrate catabolic process	7.05404682196169e-4	BP
-2080	1.0753160671348e-5	4	108	GO:0003341	cilium movement	7.82313969844875e-4	BP
1748	1.09180816070632e-5	4	153	GO:0016579;GO:0070646	protein modification by small protein removal	7.82313969844875e-4	BP
3479	1.20599995955282e-5	5	38	GO:0022904;GO:0022900	electron transport chain	8.4685317159799e-4	BP
-1661	1.36050727848433e-5	7	166	GO:0031047	gene silencing by RNA	9.36615893089899e-4	BP
-838	1.39635370740247e-5	2	670	GO:0045597	positive regulation of cell differentiation	9.42807282055783e-4	BP
-6134	1.42695716983256e-5	2	12	GO:0071168	protein localization to chromatin	9.45291815713607e-4	BP
5137	1.52044181950564e-5	2	17	GO:0002479;GO:0042590;GO:0006521	antigen processing and presentation of exogenous peptide antigen via MHC class I, TAP-dependent	9.88568745978574e-4	BP
1122	1.74266030295933e-5	5	359	GO:1903522	regulation of blood circulation	0.00111245096794367	BP
806	1.81118229390647e-5	2	707	GO:0044092	negative regulation of molecular function	0.00111901193360498	BP
1585	1.8166812935199e-5	4	177	GO:0031279;GO:0051339	regulation of lyase activity	0.00111901193360498	BP
1162	1.90267525067518e-5	2	331	GO:0032103	positive regulation of response to external stimulus	0.00115177462157251	BP
3052	1.95988806297899e-5	3	47	GO:0072599;GO:0070972	protein localization to endoplasmic reticulum	0.00116629948968123	BP
-1609	2.12241946594438e-5	3	169	GO:2000177	regulation of neural precursor cell proliferation	0.00121553622580596	BP
-3682	2.1259029515539e-5	5	32	GO:0042532;GO:0060336;GO:0060331;GO:1902216;GO:1902214;GO:0070212	negative regulation of tyrosine phosphorylation of STAT protein	0.00121553622580596	BP
1315	2.14648949017288e-5	2	254	GO:0042176	regulation of protein catabolic process	0.00121553622580596	BP
992	2.19617469831663e-5	2	450	GO:1901652	response to peptide	0.00122393164536344	BP
1364	2.59697664304275e-5	5	231	GO:0031349	positive regulation of defense response	0.00142468515526923	BP
699	2.77209191699829e-5	2	911	GO:0007154	cell communication	0.00149735611085861	BP
-3517	2.84741835557835e-5	3	34	GO:0030837;GO:0032272	negative regulation of protein polymerization	0.00151474027976297	BP
5677	2.91213413410617e-5	2	13	GO:0000244	spliceosomal tri-snRNP complex assembly	0.00152604521564877	BP
-1663	3.04680957266756e-5	2	152	GO:0060964;GO:0060147;GO:0060966	regulation of posttranscriptional gene silencing	0.00157313947200527	BP
1187	3.22149663175533e-5	2	299	GO:0015074	DNA integration	0.00163922821363666	BP
-1586	3.44123252015062e-5	4	165	GO:0048562	embryonic organ morphogenesis	0.0017260239111784	BP
-5403	3.64173432810432e-5	2	14	GO:0006297	nucleotide-excision repair, DNA gap filling	0.00180086327126398	BP
-3119	3.70115790865486e-5	6	42	GO:0070286	axonemal dynein complex assembly	0.00180482853017878	BP
-3793	4.17429251627756e-5	2	28	GO:0006298	mismatch repair	0.00200766315406171	BP
4599	4.23969886046677e-5	3	19	GO:0016226;GO:0031163	iron-sulfur cluster assembly	0.00201156522960795	BP
4714	4.43036642210084e-5	3	18	GO:0000027	ribosomal large subunit assembly	0.00207399445966244	BP
1115	4.48942121715595e-5	4	327	GO:0006937;GO:0090257	regulation of muscle system process	0.00207399445966244	BP
-3111	4.80358497146519e-5	2	41	GO:0006471	protein ADP-ribosylation	0.00219030997854731	BP
3228	4.87716792240691e-5	2	38	GO:0006413	translational initiation	0.00219535084302188	BP
564	5.3462926890253e-5	4	1335	GO:1902531	regulation of intracellular signal transduction	0.00237605489002124	BP
