"","pval","direction","color"
"11/18 ESCRT complex",0.0300639011920786,1,"lightcoral"
"5/17 MCM complex",0.0481466656654756,0,"skyblue2"
"11/20 aminoacyl-tRNA synthetase multienzyme complex",0.0450241549457169,1,"lightcoral"
"10/12 chaperonin-containing T-complex",6.24401084316035e-05,1,"firebrick1"
"12/17 chaperone complex",1.06594376379498e-05,1,"firebrick1"
"6/6 signal recognition particle",0.00122565770514783,1,"firebrick1"
"6/11 EMC complex",0.0179678256828411,1,"lightcoral"
"52/118 endoplasmic reticulum protein-containing complex",0.00349188666993613,1,"firebrick1"
"21/31 SNARE complex",0.000479150642404585,1,"firebrick1"
"19/36 vesicle coat",0.00736516510136407,1,"firebrick1"
"10/12 COPI vesicle coat",0.00986583182638188,1,"firebrick1"
"49/120 coated vesicle",0.00214492238178792,1,"firebrick1"
"32/74 clathrin-coated vesicle",0.0117883505546298,1,"lightcoral"
"7/9 chromaffin granule membrane",0.013964879866389,0,"skyblue2"
"30/78 RNA-directed RNA polymerase complex",4.04345210645183e-05,0,"dodgerblue2"
"5/7 condensin complex",0.0113738731230031,0,"skyblue2"
"6/6 meiotic cohesin complex",0.00127432257669731,0,"dodgerblue2"
"79/181 chromosomal region",4.4401250311381e-08,0,"dodgerblue2"
"48/110 chromosome, centromeric region",9.37394272170552e-09,0,"dodgerblue2"
"4/6 condensed chromosome, centromeric region",0.0179950905915682,0,"skyblue2"
"5/7 9+2 non-motile cilium",0.00564141663238148,1,"firebrick1"
"21/50 non-motile cilium",0.00736589620886789,1,"firebrick1"
"8/9 condensed chromosome outer kinetochore",0.0021693269467309,0,"dodgerblue2"
"21/47 spindle microtubule",0.042516153798168,0,"skyblue2"
"70/163 centriole",2.56530072817975e-05,0,"dodgerblue2"
"195/482 centrosome",0.00473012543639771,0,"dodgerblue2"
"7/7 ciliary transition fiber",0.000584486768140571,0,"dodgerblue2"
"17/41 spindle midzone",0.0362266157926763,0,"skyblue2"
"16/35 mitotic spindle pole",0.0473942301438616,0,"skyblue2"
"37/65 myosin complex",1.85407327500328e-07,0,"dodgerblue2"
"17/17 myosin II complex",1.66151811634108e-07,0,"dodgerblue2"
"12/16 unconventional myosin complex",0.00613127741072977,0,"dodgerblue2"
"9/9 myosin V complex",0.0011632442899431,0,"dodgerblue2"
"6/6 myosin filament",0.0492362511669824,0,"skyblue2"
"21/30 contractile fiber",0.00916986616869475,0,"dodgerblue2"
"7/7 muscle myosin complex",0.00101739553216097,0,"dodgerblue2"
"258/617 supramolecular fiber",0.000469202326417829,0,"dodgerblue2"
"39/61 M band",4.57006994261098e-05,0,"dodgerblue2"
"24/38 A band",4.04345210645183e-05,0,"dodgerblue2"
"44/80 nuclear chromosome",0.0473942301438616,0,"skyblue2"
"39/68 condensed chromosome",0.0262237508784961,0,"skyblue2"
"16/25 I band",0.0116650902875253,0,"skyblue2"
"25/42 sarcomere",0.0118632980756491,0,"skyblue2"
"15/22 myofilament",0.000193025063742994,0,"dodgerblue2"
"68/122 Z disc",1.01586768102213e-06,0,"dodgerblue2"
"89/192 endoplasmic reticulum lumen",0.00248783820978022,0,"dodgerblue2"
"41/80 pigment granule",0.0307570662359618,1,"lightcoral"
"5/8 pore complex",0.0284234584647538,1,"lightcoral"
"410/928 extracellular space",2.37326682581458e-15,0,"dodgerblue2"
"17/34 apical lamina of hyaline layer",0.00175970190383075,0,"dodgerblue2"
"24/60 lysosomal lumen",0.00825103206935831,0,"dodgerblue2"
"330/713 extracellular organelle",1.552578740083e-05,0,"dodgerblue2"
"16/34 cell wall",0.0382989617151551,0,"skyblue2"
"4/10 perisynaptic extracellular matrix",0.0450241549457169,0,"skyblue2"
"193/478 collagen-containing extracellular matrix",1.06338780467757e-14,0,"dodgerblue2"
"90/220 basement membrane",4.56769540879377e-05,0,"dodgerblue2"
"268/638 external encapsulating structure",1.0203056621752e-15,0,"dodgerblue2"
"77/137 collagen trimer",1.0414241186171e-15,0,"dodgerblue2"
"583/1245 extracellular region",1e-15,0,"dodgerblue2"
"6/8 nematocyst",0.00411341864800115,0,"dodgerblue2"
"23/71 cluster of actin-based cell projections",0.0243224556024442,0,"skyblue2"
"33/76 ruffle",0.0154687991050562,0,"skyblue2"
"128/355 cell projection membrane",0.000665246549243132,0,"dodgerblue2"
"9/15 filopodium membrane",0.0032227487861787,0,"dodgerblue2"
"64/178 leading edge membrane",0.0304442245389109,0,"skyblue2"
"4/6 cuticular plate",0.0288050743273979,0,"skyblue2"
"12/24 region of cytosol",0.0472724934233095,1,"lightcoral"
"37/91 cytoplasmic side of membrane",0.00656665087906501,1,"firebrick1"
"10/37 CD40 receptor complex",0.0313963354679009,1,"lightcoral"
"125/314 membrane microdomain",0.00525241832300013,0,"dodgerblue2"
"71/131 sarcolemma",2.02678854214022e-06,0,"dodgerblue2"
"11/16 dystrophin-associated glycoprotein complex",0.00389249052108869,0,"dodgerblue2"
"184/483 plasma membrane protein complex",0.0130909265171719,0,"skyblue2"
"317/705 cytoskeleton",0.000710538609858591,0,"dodgerblue2"
"83/177 actin cytoskeleton",0.0288050743273979,0,"skyblue2"
"21/32 intermediate filament",0.00119945970555759,0,"dodgerblue2"
"12/21 microtubule plus-end",0.00389249052108869,0,"dodgerblue2"
"17/31 microtubule end",0.00772191020455336,0,"dodgerblue2"
"11/14 hemidesmosome",0.00014142801057332,0,"dodgerblue2"
"342/789 endoplasmic reticulum membrane",0.00122720006616489,1,"firebrick1"
"8/10 H zone",0.00206161843370716,0,"dodgerblue2"
"94/280 basolateral plasma membrane",0.0019374106721728,0,"dodgerblue2"
"132/327 apical plasma membrane",0.0011106187681942,0,"dodgerblue2"
"21/49 basal plasma membrane",0.00916986616869475,0,"dodgerblue2"
"515/1353 plasma membrane region",2.56719726998706e-10,0,"dodgerblue2"
"24/41 actin filament bundle",0.00806324121485638,0,"dodgerblue2"
"15/37 lateral plasma membrane",0.033382109308386,0,"skyblue2"
"226/530 anchoring junction",0.0179950905915682,0,"skyblue2"
"156/369 cell-cell junction",0.0313963354679009,0,"skyblue2"
"634/1479 cell junction",5.37271975964697e-06,0,"dodgerblue2"
"95/248 cation channel complex",0.00157856965205107,0,"dodgerblue2"
"39/104 potassium channel complex",0.0011044293259838,0,"dodgerblue2"
"129/348 transporter complex",0.000492047710434335,0,"dodgerblue2"
"170/418 cell surface",0.0121003159479488,0,"skyblue2"
"157/378 synaptic membrane",0.023002031945401,0,"skyblue2"
"19/42 GABA receptor complex",0.0406045548562926,0,"skyblue2"
"12/23 GABA-A receptor complex",0.042516153798168,0,"skyblue2"
"17/31 dendritic shaft",0.0315110709354846,0,"skyblue2"
"190/479 axon",0.0273726461338047,0,"skyblue2"
"466/1137 neuron projection",0.0006923874913563,0,"dodgerblue2"
"208/545 dendrite",0.0171873834942017,0,"skyblue2"
"13/21 inhibitory synapse",0.0495453155999915,0,"skyblue2"
"12/22 asymmetric synapse",0.0434776629182809,0,"skyblue2"
"317/774 synapse",0.0235040622118928,0,"skyblue2"
"42/86 GABA-ergic synapse",0.0288050743273979,0,"skyblue2"
"455/1283 intrinsic component of plasma membrane",4.5230714672239e-06,0,"dodgerblue2"
"5/8 spanning component of membrane",0.0481466656654756,0,"skyblue2"
